Type,Metric Name,Role in Spatial Reasoning,Interpretation in Problem-Solving Strategy Analysis,References,Interpretation,Definition,,Metric Name,Definition
Fixation,Fixation Duration,Depth of processing,Longer durations indicate deeper cognitive processing or difficulty.,"Skaramagkas et al., 2023", focusing on a single location.Longer durations may indicate deeper cognitive processing or difficulty.,The length of time the eye remains still.,,Fixation Duration,The length of time the eye remains still.
Fixation,Mean Fixation Duration,Depth of processing,,"Joseph & Murugesh, 2020",Reflects general cognitive load and attentional demand.,Average time of all fixations during a task.,,Mean Fixation Duration,Average time of all fixations during a task.
Fixation,Max Fixation Duration,,,"Skaramagkas et al., 2023",Highlights moments of intense cognitive effort or confusion.,Maximum duration among all fixations.,,Max Fixation Duration,Maximum duration among all fixations.
Fixation,Fixation Count (FC),Cognitive load,More fixations suggest exhaustive search or uncertainty.,"Sharafi et al., 2015",Indicates visual attention engagement; more fixations suggest more effort.,Total number of fixations during a task.,,Fixation Count (FC),Total number of fixations during a task.
Fixation,Fixation Rate (FR),,,"Sharafi et al., 2015",Lower rate may show inefficiency; higher may show focus or difficulty.,Fixations per unit time or ratio of fixations in AOI to all fixations.,,Fixation Rate (FR),Fixations per unit time or ratio of fixations in AOI to all fixations.
Fixation,Fixation Spatial Density (SD),Visual exploration spread,,"Sharafi et al., 2015",High density implies dispersed attention; low density implies focus.,Proportion of grid cells visited by fixations.,,Fixation Spatial Density (SD),Proportion of grid cells visited by fixations.
Fixation,Convex Hull,,,"Sharafi et al., 2015",Shows spatial dispersion; larger hull suggests wider attention spread.,Area enclosing all fixation points.,,Convex Hull,Area enclosing all fixation points.
Fixation,First Fixation Probability,,Highlights areas where users start or finish their analysis.,"Skaramagkas et al., 2023",High values suggest AOI salience or expected relevance.,Likelihood AOI receives the first fixation.,,First Fixation Probability,Likelihood AOI receives the first fixation.
Fixation,Last Fixation Probability,,Highlights areas where users start or finish their analysis.,"Skaramagkas et al., 2023",May indicate decision point or area of final attention.,Likelihood AOI receives the final fixation.,,Last Fixation Probability,Likelihood AOI receives the final fixation.
Fixation,On-target Fixation,,,"Sharafi et al., 2015",Reflects task-relevant visual attention.,Fixation falling within target AOIs.,,On-target Fixation,Fixation falling within target AOIs.
Fixation,ROAFT,,,"Sharafi et al., 2015",Measures relative focus on relevant versus irrelevant AOIs.,Ratio of ON-target to ALL-target fixation time.,,ROAFT,Ratio of ON-target to ALL-target fixation time.
Fixation,NRRF,,,"Sharafi et al., 2015",Standardized measure of fixation frequency on relevant AOIs.,Normalized rate of relevant fixations.,,NRRF,Normalized rate of relevant fixations.
