RECORDING_SESSION_LABEL,INDEX,AVERAGE_BLINK_DURATION,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,AVERAGE_X_RESOLUTION,AVERAGE_Y_RESOLUTION,BLINK_COUNT,BUTTON_PRESS_COUNT,BUTTON_RELEASE_COUNT,DATA_FILE,DURATION,END_TIME,EYE_USED,FIXATION_COUNT,FIXATION_DURATION_MAX,FIXATION_DURATION_MAX_TIME,FIXATION_DURATION_MIN,FIXATION_DURATION_MIN_TIME,GROUPING_VARIABLES,IA_COUNT,INPUT_COUNT,INTEREST_AREA_FIXATION_SEQUENCE,INTEREST_AREA_FIXATION_SEQUENCE_DWELL_TIMES,INTEREST_AREA_SET,IP_DURATION,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,MEDIAN_FIXATION_DURATION,MEDIAN_SACCADE_AMPLITUDE,MESSAGE_COUNT,PUPIL_SIZE_MAX,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,PUPIL_SIZE_MEAN,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,REACTION_TIME,RT_DEFINITION_LABEL,RT_EVENT_BUTTON_ID,RT_EVENT_END_TIME,RT_EVENT_INDEX,RT_EVENT_INPUT,RT_EVENT_MESSAGE_TEXT,RT_EVENT_POSITION_X,RT_EVENT_POSITION_Y,RT_EVENT_START_TIME,RT_EVENT_TYPE,RT_START_TIME,RUN_COUNT,SACCADE_COUNT,SAMPLE_COUNT,SD_FIXATION_DURATION,SD_SACCADE_AMPLITUDE,START_TIME,TRIAL_LABEL,VISITED_INTEREST_AREA_COUNT,Session_Name_,Trial_Index_,result,trialid,key,response_num,response
ET24_066,2,140,366.88,5.45,56.87,57.27,3,0,0,ET24_066.edf,23799,92213959,LEFT,57,1011,92212908,90,92208720,RECORDING_SESSION,7,0,"[0, 2, 5, 0, 2, 4, 3, 6, 7, 5, 4, 3, 2, 5, 6, 7, 2, 7, 2, 7, 2, 7, 2, 7, 6, 7, 0, 5, 4, 3, 0, 3, 4, 5, 6, 7]","[459, 504, 584, 146, 464, 360, 450, 396, 368, 556, 590, 122, 1656, 694, 432, 442, 482, 622, 808, 712, 564, 684, 384, 568, 432, 422, 842, 862, 536, 1136, 224, 282, 696, 592, 830, 1011]",Custom Interest Area Set,23714,True,92213919,1,New Interest Period 01,True,92190205,368,4.18,442,691,92191370,923.7,431.5,597.68,530,92206836,1312.5,654.1,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92190160,32,56,11857,198.33,4.69,92190160,Trial: 2,6,ET24_066,1,choice5,4,5,5.0,1
ET24_066,3,178,354.98,5.54,56.73,57.1,5,0,0,ET24_066.edf,23699,92240457,LEFT,57,1134,92238444,36,92230192,RECORDING_SESSION,7,0,"[0, 2, 5, 4, 2, 3, 5, 6, 7, 5, 4, 2, 3, 2, 3, 5, 6, 5, 4, 7, 2, 7, 2, 7, 0, 2, 3, 2]","[376, 928, 528, 516, 1114, 630, 336, 396, 1074, 308, 1198, 800, 692, 804, 1550, 458, 1016, 404, 338, 760, 496, 694, 494, 186, 244, 1124, 2372, 398]",Custom Interest Area Set,23619,True,92240421,1,New Interest Period 01,True,92216802,308,1.85,497,718,92238856,374,866.4,580.97,503,92217508,821.9,370.6,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92216758,26,57,11809,206.06,5.23,92216758,Trial: 3,6,ET24_066,2,choice1,12,1,1.0,1
ET24_066,4,5788,.,12.28,59.0,57.8,1,0,0,ET24_066.edf,5825,92248489,LEFT,0,.,.,.,.,RECORDING_SESSION,7,0,[],.,Custom Interest Area Set,5735,True,92248453,1,New Interest Period 01,True,92242718,.,12.28,159,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92242664,0,1,2867,.,0,92242664,Trial: 4,0,ET24_066,3,choice3,1,3,3.0,1
ET24_066,5,13560,.,12.4,58.4,57.5,1,0,0,ET24_066.edf,13597,92264355,LEFT,0,.,.,.,.,RECORDING_SESSION,7,0,[],.,Custom Interest Area Set,13518,True,92264319,1,New Interest Period 01,True,92250801,.,12.4,141,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92250758,0,1,6759,.,0,92250758,Trial: 5,0,ET24_066,4,choice3,18,1,3.0,0
ET24_066,6,7765,206.57,8.63,53.41,53.66,2,0,0,ET24_066.edf,17349,92284121,LEFT,7,416,92268030,8,92267960,RECORDING_SESSION,7,0,"[2, 5, 4, 0, 7, 6]","[8, 416, 234, 184, 558, 46]",Custom Interest Area Set,17270,True,92284086,1,New Interest Period 01,True,92266816,234,6.56,242,527,92268980,749.1,870.8,508.65,491,92267940,1020.5,419.7,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92266772,5,7,8635,142.05,5.75,92266772,Trial: 6,5,ET24_066,5,choice3,6,3,3.0,1
ET24_066,7,3592.71,487.59,4.36,55.0,55.49,14,0,0,ET24_066.edf,100359,92386299,LEFT,94,3006,92340194,128,92352690,RECORDING_SESSION,7,0,"[5, 0, 2, 0, 2, 4, 5, 2, 5, 2, 5, 2, 5, 2, 5, 2, 5, 2, 5, 2, 5, 2, 5, 2, 5, 6, 7, 2, 7, 0, 4, 5, 3, 2, 5, 3, 5, 2, 5, 4, 5]","[638, 1072, 1702, 732, 12984, 938, 1184, 1150, 1178, 902, 266, 454, 1104, 884, 654, 3412, 688, 526, 450, 1474, 440, 1428, 770, 332, 524, 298, 2302, 670, 864, 182, 152, 318, 1522, 512, 220, 978, 288, 296, 584, 430, 331]",Custom Interest Area Set,100279,True,92386261,1,New Interest Period 01,True,92285982,351,1.76,726,854,92337190,887.5,421.6,609.82,490,92346940,921.5,358.6,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92285940,38,94,50139,481.02,4.3,92285940,Trial: 7,6,ET24_066,6,choice3,20,2,3.0,0
ET24_066,8,75,243.31,5.89,57.41,58.11,2,0,0,ET24_066.edf,4997,92392931,LEFT,16,749,92392130,82,92389360,RECORDING_SESSION,7,0,"[2, 0, 4, 5, 2, 3, 5, 6, 7, 5]","[534, 206, 144, 498, 710, 320, 322, 208, 202, 749]",Custom Interest Area Set,4904,True,92392879,1,New Interest Period 01,True,92387975,207,4.47,136,622,92389104,549.5,816.3,575.37,535,92388740,815.5,835.7,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92387934,9,15,2452,153.36,4.3,92387934,Trial: 8,6,ET24_066,7,choice3,3,3,3.0,1
ET24_066,9,95.5,337.55,4.55,57.61,58.16,8,0,0,ET24_066.edf,32083,92426345,LEFT,82,1376,92408232,48,92421482,RECORDING_SESSION,7,0,"[2, 0, 2, 5, 6, 7, 2, 7, 2, 7, 4, 3, 2, 3, 2, 3, 0, 4, 2, 4, 2, 4, 2, 4, 5, 0, 5, 4, 5, 2, 0, 2, 5, 6, 5, 6, 7, 4]","[185, 122, 764, 404, 294, 518, 1194, 486, 1190, 446, 386, 1158, 694, 628, 1466, 920, 88, 904, 1376, 972, 788, 1734, 1044, 194, 302, 194, 234, 618, 656, 504, 350, 1982, 752, 310, 668, 732, 1316, 1106]",Custom Interest Area Set,31985,True,92426294,1,New Interest Period 01,True,92394309,275,2.26,581,649,92407098,515.2,850.2,544.09,459,92398564,1518.2,787.3,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92394262,34,81,15993,209.55,4.59,92394262,Trial: 9,6,ET24_066,8,choice2,15,1,2.0,0
ET24_066,10,118,314.09,5.17,58.14,58.52,5,0,0,ET24_066.edf,12975,92440661,LEFT,34,1096,92428006,42,92431102,RECORDING_SESSION,7,0,"[0, 2, 0, 5, 0, 4, 3, 2, 5, 6, 7, 6, 2, 7, 2, 7, 6, 2, 7, 6]","[72, 1228, 106, 702, 84, 230, 310, 392, 300, 268, 442, 148, 674, 862, 1036, 800, 680, 810, 1306, 229]",Custom Interest Area Set,12885,True,92440625,1,New Interest Period 01,True,92427740,252,3.55,161,618,92437298,1273.5,838.6,543.95,477,92432848,1613.1,840.8,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92427686,17,33,6442,218.57,4.8,92427686,Trial: 10,6,ET24_066,9,choice5,7,3,5.0,0
ET24_066,11,105.86,351.69,4.05,58.08,58.47,14,0,0,ET24_066.edf,41591,92483491,LEFT,101,2248,92474332,34,92464960,RECORDING_SESSION,7,0,"[2, 5, 4, 3, 5, 3, 2, 0, 6, 7, 2, 0, 5, 0, 3, 2, 3, 2, 3, 2, 3, 4, 2, 5, 4, 2, 4, 2, 4, 2, 0, 5, 6, 7, 2, 7, 2, 0, 7]","[1790, 302, 658, 1298, 242, 1008, 198, 286, 530, 1036, 3922, 146, 522, 360, 808, 858, 1284, 1018, 1590, 534, 234, 552, 614, 406, 542, 682, 1240, 898, 362, 1398, 128, 1196, 2546, 1622, 1340, 1322, 1118, 122, 809]",Custom Interest Area Set,41487,True,92483443,1,New Interest Period 01,True,92441956,294,1.64,597,652,92472916,890,850.4,523.01,279,92456224,-12.8,1131.9,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92441900,34,100,20743,299.12,4.42,92441900,Trial: 11,6,ET24_066,10,choice5,13,5,5.0,1
